, command: ./nn_setup --benchmark -numdevices=1 -i=1 --profile-from-start off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
==31955== Profiling result:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.34664s  1.2160us                    -               -         -         -         -      112B  92.105MB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.39184s  1.7405ms                    -               -         -         -         -  6.2915MB  3.6147GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43715s  1.7198ms                    -               -         -         -         -  6.2915MB  3.6582GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43921s  8.5760us                    -               -         -         -         -  55.296KB  6.4478GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.48264s  1.7119ms                    -               -         -         -         -  6.2915MB  3.6751GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.52768s  1.7120ms                    -               -         -         -         -  6.2915MB  3.6748GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.52974s  8.9280us                    -               -         -         -         -  55.296KB  6.1936GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.57335s  1.7423ms                    -               -         -         -         -  6.2915MB  3.6110GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.61854s  1.7339ms                    -               -         -         -         -  6.2915MB  3.6286GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.63267s  210.75us                    -               -         -         -         -  1.5729MB  7.4631GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64414s  212.07us                    -               -         -         -         -  1.5729MB  7.4169GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64449s  3.8400us                    -               -         -         -         -  20.480KB  5.3333GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64466s  4.1920us                    -               -         -         -         -  20.480KB  4.8855GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64483s  3.8400us                    -               -         -         -         -  20.480KB  5.3333GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64500s  3.8720us                    -               -         -         -         -  20.480KB  5.2893GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64517s  4.1600us                    -               -         -         -         -  20.480KB  4.9231GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64533s  3.8720us                    -               -         -         -         -  20.480KB  5.2893GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64550s  3.8720us                    -               -         -         -         -  20.480KB  5.2893GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65978s  2.5600us                    -               -         -         -         -  12.288KB  4.8000GB/s  Graphics Device         1         7  [CUDA memcpy HtoD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.66019s  271.74us           (1025 1 1)       (512 1 1)        27        0B        0B         -           -  Graphics Device         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [455],,,,,,,,,,,,,,,,,,,,,,,,
2.66046s  12.799ms           (8192 2 1)        (8 32 1)       116  10.496KB        0B         -           -  Graphics Device         1         7  void cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float) [473]
2.67345s  55.392us            (384 1 1)       (128 1 1)        19        0B        0B         -           -  Graphics Device         1         7  void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int) [486],,,,,,,,,,,,,,
