==29267== NVPROF is profiling process 29267, command: ./nn_setup --benchmark -numdevices=1 -i=1
==29267== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
2.33285s  1.2160us                    -               -         -         -         -      112B  92.105MB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.37778s  1.7653ms                    -               -         -         -         -  6.2915MB  3.5640GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.42269s  1.7490ms                    -               -         -         -         -  6.2915MB  3.5971GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.42477s  8.5760us                    -               -         -         -         -  55.296KB  6.4478GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.46817s  1.7123ms                    -               -         -         -         -  6.2915MB  3.6742GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.51302s  1.7081ms                    -               -         -         -         -  6.2915MB  3.6832GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.52594s  208.96us                    -               -         -         -         -  1.5729MB  7.5271GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.52654s  8.8000us                    -               -         -         -         -  55.296KB  6.2836GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.53783s  210.27us                    -               -         -         -         -  1.5729MB  7.4801GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.54929s  211.55us                    -               -         -         -         -  1.5729MB  7.4349GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.55243s  35.520us                    -               -         -         -         -  393.22KB  11.070GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.55287s  8.8960us                    -               -         -         -         -  55.296KB  6.2158GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.55573s  35.232us                    -               -         -         -         -  393.22KB  11.161GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
2.55870s  35.777us                    -               -         -         -         -  393.22KB  10.991GB/s  Graphics Device         1         7  [CUDA memcpy HtoD]
